2484898766 function calls (2481869999 primitive calls) in 746.877 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      207    0.000    0.000    0.000    0.000 arraysetops.py:125(_unpack_tuple)
      207    0.000    0.000    0.000    0.000 arraysetops.py:133(_unique_dispatcher)
      207    0.004    0.000    2.485    0.012 arraysetops.py:138(unique)
      207    0.187    0.001    2.481    0.012 arraysetops.py:320(_unique1d)
      300    0.000    0.000    0.000    0.000 base.py:1001(is_classifier)
 13247647    1.861    0.000    2.789    0.000 base.py:1205(isspmatrix)
      500    0.001    0.000    0.018    0.000 base.py:163(_get_param_names)
      500    0.001    0.000    0.002    0.000 base.py:177(<listcomp>)
      500    0.000    0.000    0.001    0.000 base.py:192(<listcomp>)
      500    0.001    0.000    0.020    0.000 base.py:194(get_params)
      200    0.000    0.000    0.009    0.000 base.py:218(set_params)
      103    0.000    0.000    0.000    0.000 base.py:314(__getstate__)
 1300/100    0.001    0.000    0.010    0.000 base.py:32(clone)
      103    0.000    0.000    0.001    0.000 base.py:325(__setstate__)
 12433821    4.351    0.000   19.411    0.000 base.py:359(_check_n_features)
   813421    0.271    0.000    0.558    0.000 base.py:405(_check_feature_names)
   813421    1.407    0.000   22.320    0.000 base.py:495(_validate_data)
        1    0.000    0.000    9.414    9.414 base.py:640(score)
      133    0.000    0.000    0.000    0.000 cells.py:22(<genexpr>)
        5    0.000    0.000    0.000    0.000 cells.py:28(get_character_cell_size)
      216    0.000    0.000    0.000    0.000 cells.py:8(cell_len)
        1    0.000    0.000    0.000    0.000 color.py:297(system)
        2    0.000    0.000    0.000    0.000 color.py:396(parse)
        3    0.000    0.000    0.000    0.000 color.py:449(get_ansi_codes)
        3    0.000    0.000    0.000    0.000 color.py:477(downgrade)
        2    0.000    0.000    0.000    0.000 console.py:1055(line)
        4    0.000    0.000    0.000    0.000 console.py:1109(show_cursor)
   234/54    0.000    0.000    0.002    0.000 console.py:1181(render)
     38/6    0.000    0.000    0.002    0.000 console.py:1231(render_lines)
      140    0.000    0.000    0.000    0.000 console.py:1343(get_style)
        8    0.000    0.000    0.000    0.000 console.py:1373(_collect_renderables)
       16    0.000    0.000    0.000    0.000 console.py:1415(check_text)
        4    0.000    0.000    0.000    0.000 console.py:1475(control)
        4    0.000    0.000    0.000    0.000 console.py:148(ascii_only)
        8    0.000    0.000    0.003    0.000 console.py:1518(print)
       60    0.000    0.000    0.000    0.000 console.py:153(copy)
       30    0.000    0.000    0.000    0.000 console.py:163(update)
       18    0.000    0.000    0.000    0.000 console.py:1849(_check_buffer)
       12    0.000    0.000    0.000    0.000 console.py:1878(_render_buffer)
       30    0.000    0.000    0.000    0.000 console.py:200(update_width)
        2    0.000    0.000    0.000    0.000 console.py:265(__init__)
        4    0.000    0.000    0.000    0.000 console.py:268(__rich_console__)
        8    0.000    0.000    0.000    0.000 console.py:440(__init__)
        6    0.000    0.000    0.000    0.000 console.py:445(renderables)
       12    0.000    0.000    0.000    0.000 console.py:459(__rich_console__)
      104    0.000    0.000    0.000    0.000 console.py:722(file)
       36    0.000    0.000    0.000    0.000 console.py:734(_buffer)
       46    0.000    0.000    0.000    0.000 console.py:739(_buffer_index)
       28    0.000    0.000    0.000    0.000 console.py:744(_buffer_index)
      120    0.000    0.000    0.000    0.000 console.py:748(_theme_stack)
       14    0.000    0.000    0.000    0.000 console.py:777(_enter_buffer)
       14    0.000    0.000    0.000    0.000 console.py:781(_exit_buffer)
        2    0.000    0.000    0.000    0.000 console.py:786(set_live)
        2    0.000    0.000    0.000    0.000 console.py:800(clear_live)
        2    0.000    0.000    0.000    0.000 console.py:805(push_render_hook)
        2    0.000    0.000    0.000    0.000 console.py:814(pop_render_hook)
       14    0.000    0.000    0.000    0.000 console.py:818(__enter__)
       14    0.000    0.000    0.000    0.000 console.py:823(__exit__)
        2    0.000    0.000    0.000    0.000 console.py:869(color_system)
        8    0.000    0.000    0.000    0.000 console.py:882(encoding)
       76    0.000    0.000    0.000    0.000 console.py:891(is_terminal)
       42    0.000    0.000    0.000    0.000 console.py:904(is_dumb_terminal)
        8    0.000    0.000    0.000    0.000 console.py:916(options)
       32    0.000    0.000    0.000    0.000 console.py:929(size)
       16    0.000    0.000    0.000    0.000 console.py:975(width)
       12    0.000    0.000    0.000    0.000 containers.py:105(extend)
       12    0.000    0.000    0.000    0.000 containers.py:111(justify)
       36    0.000    0.000    0.000    0.000 containers.py:69(__init__)
       60    0.000    0.000    0.000    0.000 containers.py:75(__iter__)
       12    0.000    0.000    0.000    0.000 containers.py:93(__len__)
   116205    0.029    0.000    0.029    0.000 context.py:233(get_context)
 11736705    3.012    0.000   21.196    0.000 contextlib.py:114(__enter__)
 11736705    3.764    0.000   17.083    0.000 contextlib.py:123(__exit__)
 11736705    3.021    0.000    9.876    0.000 contextlib.py:261(helper)
      200    0.000    0.000    0.000    0.000 contextlib.py:63(_recreate_cm)
      200    0.000    0.000    0.012    0.000 contextlib.py:76(inner)
 11736705    5.896    0.000    6.855    0.000 contextlib.py:86(__init__)
        4    0.000    0.000    0.000    0.000 control.py:137(show_cursor)
       16    0.000    0.000    0.000    0.000 control.py:153(__rich_console__)
       60    0.000    0.000    0.000    0.000 control.py:160(strip_control_codes)
        4    0.000    0.000    0.000    0.000 control.py:19(<lambda>)
        2    0.000    0.000    0.000    0.000 control.py:24(<lambda>)
        2    0.000    0.000    0.000    0.000 control.py:25(<lambda>)
        4    0.000    0.000    0.000    0.000 control.py:31(<lambda>)
       16    0.000    0.000    0.000    0.000 control.py:46(__init__)
       16    0.000    0.000    0.000    0.000 control.py:47(<listcomp>)
       28    0.000    0.000    0.000    0.000 control.py:51(<genexpr>)
6622/1202    0.004    0.000    0.383    0.000 copy.py:128(deepcopy)
     5705    0.000    0.000    0.000    0.000 copy.py:182(_deepcopy_atomic)
        1    0.000    0.000    0.382    0.382 copy.py:200(_deepcopy_list)
        1    0.000    0.000    0.000    0.000 copy.py:209(_deepcopy_tuple)
        1    0.000    0.000    0.000    0.000 copy.py:210(<listcomp>)
    205/2    0.001    0.000    0.382    0.191 copy.py:226(_deepcopy_dict)
      915    0.000    0.000    0.001    0.000 copy.py:242(_keep_alive)
    203/2    0.001    0.000    0.382    0.191 copy.py:258(_reconstruct)
      606    0.000    0.000    0.000    0.000 copy.py:263(<genexpr>)
      103    0.000    0.000    0.000    0.000 copyreg.py:94(__newobj__)
   697215    2.093    0.000   33.103    0.000 covertype_pipeline.py:102(infer)
        1    0.067    0.067   71.490   71.490 covertype_pipeline.py:118(fit)
        1    0.036    0.036    3.223    3.223 covertype_pipeline.py:125(<listcomp>)
        1    0.013    0.013    0.013    0.013 covertype_pipeline.py:126(<listcomp>)
   116203    0.131    0.000  590.599    0.005 covertype_pipeline.py:132(infer)
  1743036    0.644    0.000   11.364    0.000 covertype_pipeline.py:73(__array__)
  1743036    4.320    0.000    7.687    0.000 covertype_pipeline.py:75(<listcomp>)
        1    0.066    0.066    3.558    3.558 covertype_pipeline.py:92(fit)
        1    0.037    0.037    3.325    3.325 covertype_pipeline.py:98(<listcomp>)
  2207845    0.487    0.000   13.528    0.000 data.py:60(mget)
  2207845   13.041    0.000   13.041    0.000 data.py:61(<dictcomp>)
        2    0.043    0.022    0.083    0.041 data.py:75(idsBefore)
  1394433    2.902    0.000    6.032    0.000 dataclasses.py:1024(fields)
 52058938    2.955    0.000    2.955    0.000 dataclasses.py:1039(<genexpr>)
       32    0.000    0.000    0.000    0.000 dataclasses.py:1042(_is_dataclass_instance)
       32    0.000    0.000    0.000    0.000 dataclasses.py:1236(replace)
   116205    0.184    0.000    0.184    0.000 disk.py:42(memstr_to_bytes)
     6501    0.001    0.000    0.002    0.000 enum.py:358(__call__)
     6501    0.000    0.000    0.000    0.000 enum.py:670(__new__)
   464809    0.039    0.000    0.039    0.000 execute.py:119(<listcomp>)
   464809    0.041    0.000    0.041    0.000 execute.py:128(<dictcomp>)
813418/232406    1.924    0.000  750.215    0.003 execute.py:141(infer)
   581012    0.132    0.000    0.132    0.000 execute.py:151(<listcomp>)
   232406    0.060    0.000    0.060    0.000 execute.py:167(<listcomp>)
  1394433    0.311    0.000    6.343    0.000 execute.py:21(_get_fields_from_type)
        1    0.222    0.222  750.547  750.547 execute.py:255(executemany)
        2    0.012    0.006    0.394    0.197 execute.py:42(versionState)
813420/232408    2.076    0.000   76.574    0.000 execute.py:49(fetchFeatures)
  1743036    2.453    0.000    2.453    0.000 execute.py:59(<listcomp>)
   116204    1.622    0.000    1.622    0.000 execute.py:64(<listcomp>)
   581012    9.411    0.000    9.411    0.000 execute.py:76(<dictcomp>)
   813420    4.680    0.000   11.697    0.000 execute.py:83(<listcomp>)
  1743036    4.323    0.000    4.323    0.000 execute.py:85(<dictcomp>)
        2    0.722    0.361  132.160   66.080 execute.py:99(fit)
   813524    0.597    0.000    4.907    0.000 extmath.py:871(_safe_accumulator_op)
        1    0.035    0.035    0.083    0.083 extmath.py:901(_incremental_mean_and_var)
        4    0.000    0.000    0.000    0.000 file_proxy.py:14(__init__)
       62    0.000    0.000    0.000    0.000 file_proxy.py:20(rich_proxied_file)
        8    0.000    0.000    0.000    0.000 file_proxy.py:25(__getattr__)
        4    0.000    0.000    0.000    0.000 file_proxy.py:50(flush)
 11620500    3.056    0.000   35.819    0.000 fixes.py:100(delayed_function)
 11620500    4.785    0.000   32.763    0.000 fixes.py:110(__init__)
 11620500   12.937    0.000  314.922    0.000 fixes.py:115(__call__)
 11620500    6.005    0.000   31.484    0.000 fixes.py:97(delayed)
   116204    0.013    0.000    0.013    0.000 fromnumeric.py:1117(_argmax_dispatcher)
   116204    0.056    0.000    0.227    0.000 fromnumeric.py:1121(argmax)
        2    0.000    0.000    0.000    0.000 fromnumeric.py:1714(_ravel_dispatcher)
        2    0.000    0.000    0.000    0.000 fromnumeric.py:1718(ravel)
        2    0.000    0.000    0.000    0.000 fromnumeric.py:1924(_shape_dispatcher)
        2    0.000    0.000    0.000    0.000 fromnumeric.py:1928(shape)
        1    0.000    0.000    0.000    0.000 fromnumeric.py:193(_reshape_dispatcher)
        1    0.000    0.000    0.000    0.000 fromnumeric.py:198(reshape)
   813625    0.076    0.000    0.076    0.000 fromnumeric.py:2118(_sum_dispatcher)
   813625    0.502    0.000    2.718    0.000 fromnumeric.py:2123(sum)
      101    0.000    0.000    0.000    0.000 fromnumeric.py:2263(_any_dispatcher)
      101    0.000    0.000    0.004    0.000 fromnumeric.py:2268(any)
   116305    0.010    0.000    0.010    0.000 fromnumeric.py:2454(_cumsum_dispatcher)
   116305    0.056    0.000    0.416    0.000 fromnumeric.py:2458(cumsum)
        1    0.000    0.000    0.000    0.000 fromnumeric.py:2535(_ptp_dispatcher)
